fingerprint,brand,product_name,positive_rewrites,negative_rewrites,positive_body_rewrites,negative_body_rewrites,model,prompt_version
000005e51c598c350f51945b838eb2d69b877c994a6b1a962e170dd3af2dd910,7-11,哇沙米秋鮭,"[{""source_index"":8,""text"":""飯、配料、海苔都有哇沙米""},{""source_index"":32,""text"":""很嗆但好吃，辣度還好""}]","[{""source_index"":31,""text"":""哇沙米狂熱者覺得不夠嗆""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0007935627a47ec2ee2bf42aa692cbd827ce5a1d821f6cfff3d1e7641eeeb099,7-11,圓山水果百匯麵包,[],"[{""source_index"":1,""text"":""發酵味帶鹼味，令人困擾""},{""source_index"":3,""text"":""麵包本身偏甜""}]","[{""source_index"":0,""text"":""麵包厚實有飽足感，含葡萄乾、蔓越莓乾和核桃""}]",[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
001b096a13f5beb973b7b922f088752d7e94a881c93e62a79130e86558dee4b3,全家,大口鹽麴烤豚飯糰,[],"[{""source_index"":2,""text"":""肉很少，幾乎只吃到一口""},{""source_index"":4,""text"":""肉不好吃，不會回購""},{""source_index"":9,""text"":""肉少又賣得貴""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
001bbdd6ebcd619ff371ec82737a6d9cb35e334b8cab3cc245b2af4d50e22513,全家,馬尚煮,"[{""source_index"": 4, ""text"": ""湯頭偏酸、不太辣且開胃""}, {""source_index"": 37, ""text"": ""湯頭好喝，加奶也好吃""}, {""source_index"": 32, ""text"": ""特價很划算""}]","[{""source_index"": 8, ""text"": ""小辣者也覺得太辣""}, {""source_index"": 20, ""text"": ""辣油讓腸胃很燒""}, {""source_index"": 53, ""text"": ""辣味有化學感""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0022bed5b687d1793c6d527a1a737a7b2d2672774c2407655d7869485081a7a0,全家,紅豆生乳銅鑼燒,"[{""source_index"":18,""text"":""可以買來當早餐""},{""source_index"":20,""text"":""買一送一才值得""}]","[{""source_index"":4,""text"":""太甜，生乳餡少，主要吃到紅豆和麵皮""},{""source_index"":7,""text"":""外皮口感詭異，有奇怪麵皮感""},{""source_index"":17,""text"":""這款吃一次就好""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
002779e851a6e98c8e4c53211ddf5bab5b2f23408840886a769e01299f46d59f,7-11,可可菠蘿,[],[],"[{""source_index"":9,""text"":""巧克力香氣濃、甜度中等但掉屑多""}]",[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
002b1a8af2b888d6e2b6bb1a187abe373bcb0e3dc3ee345fe3858ee9aad03aee,7-11,日式半熟蛋,[],"[{""source_index"":0,""text"":""敲蛋殼不太容易""}]","[{""source_index"":5,""text"":""蛋本身表現很好""}]",[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
004a7753addcb609d0adca833425ef7e21f8bbf3338b4c8c82e7393d180177d2,7-11,這不是抹茶鬆餅,"[{""source_index"":29,""text"":""芥末味不重，吃起來不嗆""},{""source_index"":13,""text"":""成功騙到朋友，所以值得推""},{""source_index"":34,""text"":""好吃，希望成為常駐商品""}]","[{""source_index"":11,""text"":""芥末和奶油搭起來很可怕""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
004acdaa872e9acf27e63293f24da0ae2ee2b2853b148eb4bfd2a2e497fa2e5a,全家,香草卡士達生甜甜圈,"[{""source_index"":20,""text"":""內餡偏多但略甜，適合分食""},{""source_index"":39,""text"":""卡士達醬好吃，像台式甜甜圈""},{""source_index"":90,""text"":""冷凍後再加熱口感較好""}]","[{""source_index"":6,""text"":""麵包體偏乾，口感不佳""},{""source_index"":10,""text"":""油味偏重，適合分著吃""},{""source_index"":52,""text"":""吃到最後會出現苦味""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
004fb84ad29b47f0c47e38682fc00a797cb6e7993e6fc49cce6a4454fe9baa94,7-11,蛤蜊洋芋濃湯,"[{""source_index"":7,""text"":""適合當點心或消夜""},{""source_index"":9,""text"":""麵包丁搭配很讚""}]",[],[],[],gpt-5.6-luna,comment-picks-v2-rewrite
