comment_id,品牌,商品,留言tag,留言內容,模型分數,模型判定,你的判定,你的分數,備註
M.1779631192.A.AC3#016,全家,：媽媽煮藝 蒜香綜合滷味49/香蒜胡椒肉骨茶麵79,噓,超難吃,-1.000,負向,,,
M.1774946492.A.2D7#025,7-11,：統一布丁-焦糖出走咘布,噓,少了焦糖就算了，還比較貴；會買真的智商有問題,-0.800,負向,,,
M.1772756344.A.C58#001,7-11,：御飯糰 高雄櫻花祭 生鮭魚夾心飯糰,噓,吃了覺得都是飯 貴,-0.800,負向,,,
M.1777307327.A.215#002,全家,大醇豆無加糖黑豆漿,噓,黑油加料,-0.760,負向,,,
M.1777307327.A.215#029,全家,大醇豆無加糖黑豆漿,噓,應該是現在沒辦法加地溝油才不夠好喝吧,-0.760,負向,,,
M.1777307327.A.215#037,全家,大醇豆無加糖黑豆漿,噓,油粉跚跚來援 多喝點加油捏,-0.760,負向,,,
M.1779819009.A.5A1#015,7-11,"：日東紅茶 皇家奶茶
        
(區域型商品請註明 試吃試用品請標示價格",噓,奶精茶也在推...,-0.600,負向,,,
M.1779890653.A.577#003,全家,"：
        
(區域型商品請註明 試吃試用品請標示價格0元)",噓,驚嘆號很多時候是兩種新舊料混合體,-0.600,負向,,,
M.1780233212.A.A43#025,7-11,"：
89",噓,"89粽,盤",-0.600,負向,,,
M.1779631192.A.AC3#006,全家,：媽媽煮藝 蒜香綜合滷味49/香蒜胡椒肉骨茶麵79,噓,原來這是網紅業配的組合，我看很快又要有第三篇，一日五食什麼鬼企劃，你這才一餐鈉就破3000不用一個月就去洗腎了，網紅業配信眾洗腎看了就好笑,-0.600,負向,,,
M.1778946836.A.D07#000,萊爾富,"：

官方叫 生乳你個布丁

拜託萊爾富公關你腦子清醒一點

香蕉你個芭樂 19",噓,這篇是中文出問題嗎？,-0.600,負向,,,
M.1778946836.A.D07#012,萊爾富,"：

官方叫 生乳你個布丁

拜託萊爾富公關你腦子清醒一點

香蕉你個芭樂 19",噓,自以為很會寫,-0.600,負向,,,
M.1778570182.A.7E1#001,7-11,"：紅豆丹麥吐司
        
(區域型商品請註明 試吃試用品請標示價格0元)",噓,2月的產品現在才在po..說不定都停產了,-0.600,負向,,,
M.1777436690.A.C51#031,全家,"：99
        
(區域型商品請註明 試吃試用品請標示價格0元)",噓,剛吃完鐵板麵，根本不飽，麵只有一小搓，而且沒肉,-0.600,負向,,,
M.1777525415.A.08A#007,7-11,"：十六茶 水果茶 / $35
  (區域型商品請註明 試吃試用品請標示價格0元)",噓,推文好業,-0.600,負向,,,
M.1777307327.A.215#005,全家,大醇豆無加糖黑豆漿,噓,格式呢？,-0.600,負向,,,
M.1777307327.A.215#012,全家,大醇豆無加糖黑豆漿,噓,誰鳥你啊 味全BAD,-0.600,負向,,,
M.1777307327.A.215#018,全家,大醇豆無加糖黑豆漿,噓,頂腥呵呵=,-0.600,負向,,,
M.1777307327.A.215#022,全家,大醇豆無加糖黑豆漿,噓,買一送一純領不買,-0.600,負向,,,
M.1777307327.A.215#042,全家,大醇豆無加糖黑豆漿,噓,此生不碰味全,-0.600,負向,,,
M.1775923616.A.21D#003,全家,： 一顆布丁捲蛋糕  $49,噓,好奇上面是眼睛抹屎嗎，人家就說不是果凍感了,-0.600,負向,,,
M.1775058385.A.6ED#018,7-11,： 火腿起司蛋 凱薩堡 （限定販售）$69,噓,超臭，純噓產品總監放山葵,-0.600,負向,,,
M.1773148633.A.7E8#000,7-11,"：
西雅圖  蜜香咖啡紅茶、四季春拿鐵  150 買一送一",噓,西雅圖pass,-0.600,負向,,,
