fingerprint,post_id,brand,product_name,source_indices,rewrite,model,prompt_version
00089432d551cfddbf38c7a7745e9e9c751420d3f0415b888fc1e81bd2f2544e,M.1727176233.A.125,全家,金咖哩焙煎咖哩豆腐牛,0|1|4,咖哩濃甜不辣，飯粒粒分明，牛肉存在感低,gpt-5.6-luna,excerpt-v2-rewrite
001e138323ed955bb4ba971d91aba50c7bb69803375696b52a0efe51c60d8615,M.1774531437.A.038_焙韻隱山烏龍,全家,焙韻隱山烏龍,9|10|11,茶味清爽不濃，尾韻帶淡淡花草香，冰喝順口,gpt-5.6-luna,excerpt-v2-rewrite
001e255a73b0e990f96fe84afee34b2ff79bdbbd86a6a99e0ad1e87357c6b088,M.1727257434.A.EAF,萊爾富,石安嚴選椒麻蛋,3|4|5,椒麻味明顯且很辣，愛辣者吃得過癮,gpt-5.6-luna,excerpt-v2-rewrite
003788685e9563a86758d25e03a76893fa8f13847939f03b5aac38246a81c8ef,M.1750900399.A.EB2,全家,彩虹10蔬湯,1|2|7,熱量低但湯頭偏油，單吃不飽,gpt-5.6-luna,excerpt-v2-rewrite
003ea6b103a83d46ee952ae5e6018402a6701de7c0285fcf8b5d3352d5bf3b1c,M.1722363010.A.772,7-11,凱撒風味嫩雞鮮蔬捲餅,2|3|4,雞肉不澀，配生菜番茄洋蔥，但只夠當點心,gpt-5.6-luna,excerpt-v2-rewrite
004d50d986fcfe91f85b01becaaa27c4dd5c8713a6b7730f07ac6d0ed5b0312e,M.1722071622.A.8DA,全家,卡迪那95度C北海道原味薯條,1,原味馬鈴薯味濃，帶鹹味好吃,gpt-5.6-luna,excerpt-v2-rewrite
0058a65bb65c82967485d795faa209b7be53d36531ab1f373db0fe6b8622c58d,M.1761067990.A.125,7-11,明太子雞肉溏心蛋三明治,0|1|3,明太子配蛋很讚，雞肉是敗筆且不回購,gpt-5.6-luna,excerpt-v2-rewrite
0073bc64f1de1c63dbff778a9df44b13ae99274dfd90f922076bfa67b61262bd,M.1746788486.A.186,全家,無聊派嚼代爽椒隨手包,0|1|3,口感脆且微辣鹹甜，適合配啤酒,gpt-5.6-luna,excerpt-v2-rewrite
00764c88c7924a4481586dc9c100409e8cb84228422dcebbe58ba093346192fc,M.1771503692.A.77C,全家,北海道哈密瓜霜淇淋,0|1|2,哈密瓜果肉甜味濃，瓜味好吃,gpt-5.6-luna,excerpt-v2-rewrite
008b71bbeae6600be7f4d54c499afc318dd5baca0004eb20c8d12a3ae58c43ae,M.1771726484.A.0F4,全家,喵咪布丁風味奶油包,8|9|10,奶油餡滿出，口感似螺旋麵包並帶布丁味,gpt-5.6-luna,excerpt-v2-rewrite
