comment_id,source,board,post_id,post_url,post_title,post_brand,product_name,price,post_tag,comment_user,comment_tag,comment_text,comment_posted_at,context,sentiment,target_brand,is_comparative,favored_brand,notes
sample-711-fuhang#000,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饅頭夾豬排蛋,7-11,阜杭豆漿饅頭夾豬排蛋,65,商品,alice,推,"好吃,饀頭很香",2026/6/1 12:10,貼文品牌=7-11; 商品=阜杭豆漿饁頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饁頭夾豬排蛋,正,本牌,否,不明,
sample-711-fuhang#001,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饅頭夾豬排蛋,7-11,阜杭豆漿饅頭夾豬排蛋,65,商品,bob,推,這個我會回購,2026/6/1 12:11,貼文品牌=7-11; 商品=阜杭豆漿饅頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饅頭夾豬排蛋,正,本牌,否,不明,
sample-711-fuhang#002,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饁頭夾豬排蛋,7-11,阜杭豆漿饁頭夾豬排蛋,65,商品,carol,推,蛋跟豬排搭起來不錯,2026/6/1 12:12,貼文品牌=7-11; 商品=阜杭豆漿饅頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饅頭夾豬排蛋,正,本牌,否,不明,
sample-711-fuhang#003,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饁頭夾豬排蛋,7-11,阜杭豆漿饁頭夾豬排蛋,65,商品,dave,→,價格有點貴但可以,2026/6/1 12:13,貼文品牌=7-11; 商品=阜杭豆漿饁頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饁頭夾豬排蛋,中,本牌,否,不明,
sample-711-fuhang#004,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饅頭夾豬排蛋,7-11,阜杭豆漿饅頭夾豬排蛋,65,商品,erin,噓,"太乾,踩雷",2026/6/1 12:14,貼文品牌=7-11; 商品=阜杭豆漿饁頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饁頭夾豬排蛋,負,本牌,否,不明,
sample-711-fuhang#005,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饁頭夾豬排蛋,7-11,阜杭豆漿饁頭夾豬排蛋,65,商品,frank,推,比想像中嫩,2026/6/1 12:15,貼文品牌=7-11; 商品=阜杭豆漿饁頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饁頭夾豬排蛋,中,本牌,否,不明,
sample-711-fuhang#006,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饁頭夾豬排蛋,7-11,阜杭豆漿饁頭夾豬排蛋,65,商品,gina,→,"普通,但份量夠",2026/6/1 12:16,貼文品牌=7-11; 商品=阜杭豆漿饅頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饅頭夾豬排蛋,中,本牌,否,不明,
sample-711-fuhang#007,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饁頭夾豬排蛋,7-11,阜杭豆漿饁頭夾豬排蛋,65,商品,hank,推,推薦早餐買這個,2026/6/1 12:17,貼文品牌=7-11; 商品=阜杭豆漿饁頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饁頭夾豬排蛋,正,本牌,否,不明,
sample-711-fuhang#008,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饅頭夾豬排蛋,7-11,阜杭豆漿饅頭夾豬排蛋,65,商品,ivy,噓,很鹹,2026/6/1 12:18,貼文品牌=7-11; 商品=阜杭豆漿饅頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饅頭夾豬排蛋,負,本牌,否,不明,
sample-711-fuhang#009,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饁頭夾豬排蛋,7-11,阜杭豆漿饁頭夾豬排蛋,65,商品,jane,推,"不錯,會再買",2026/6/1 12:19,貼文品牌=7-11; 商品=阜杭豆漿饁頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饁頭夾豬排蛋,正,本牌,否,不明,
sample-711-fuhang#010,PTT,CVS,sample-711-fuhang,https://www.ptt.cc/bbs/CVS/M.sample.html,[商品] 711 阜杭豆漿饅頭夾豬排蛋,7-11,阜杭豆漿饅頭夾豬排蛋,65,商品,alice,推,"真的香,再推一次",2026/6/1 12:20,貼文品牌=7-11; 商品=阜杭豆漿饁頭夾豬排蛋; tag=商品; 價格=65; 標題=[商品] 711 阜杭豆漿饁頭夾豬排蛋,正,本牌,否,不明,
sample-family-salad#000,PTT,CVS,sample-family-salad,https://www.ptt.cc/bbs/CVS/M.sample2.html,[商品] 全家 健身G肉餐盒,全家,健身G肉餐盒,99,商品,fit01,推,"雞肉不錯,蛋白質夠",2026/6/5 18:05,貼文品牌=全家; 商品=健身G肉餐盒; tag=商品; 價格=99; 標題=[商品] 全家 健身G肉餐盒,正,本牌,否,不明,
sample-family-salad#001,PTT,CVS,sample-family-salad,https://www.ptt.cc/bbs/CVS/M.sample2.html,[商品] 全家 健身G肉餐盒,全家,健身G肉餐盒,99,商品,alice,→,普通但方便,2026/6/5 18:06,貼文品牌=全家; 商品=健身G肉餐盒; tag=商品; 價格=99; 標題=[商品] 全家 健身G肉餐盒,中,本牌,否,不明,
sample-family-salad#002,PTT,CVS,sample-family-salad,https://www.ptt.cc/bbs/CVS/M.sample2.html,[商品] 全家 健身G肉餐盒,全家,健身G肉餐盒,99,商品,erin,噓,"太貴,飯很乯",2026/6/5 18:07,貼文品牌=全家; 商品=健身G肉餐盒; tag=商品; 價格=99; 標題=[商品] 全家 健身G肉餐盒,負,本牌,否,不明,
sample-family-salad#003,PTT,CVS,sample-family-salad,https://www.ptt.cc/bbs/CVS/M.sample2.html,[商品] 全家 健身G肉餐盒,全家,健身G肉餐盒,99,商品,marketer,推,全家這款超好吃推薦,2026/6/5 18:08,貼文品牌=全家; 商品=健身G肉餐盒; tag=商品; 價格=99; 標題=[商品] 全家 健身G肉餐盒,正,本牌,否,不明,
sample-family-salad#004,PTT,CVS,sample-family-salad,https://www.ptt.cc/bbs/CVS/M.sample2.html,[商品] 全家 健身G肉餐盒,全家,健身G肉餐盒,99,商品,marketer,推,全家這款超好吃推薦,2026/6/5 18:09,貼文品牌=全家; 商品=健身G肉餐盒; tag=商品; 價格=99; 標題=[商品] 全家 健身G肉餐盒,正,本牌,否,不明,
sample-hilife#001,PTT,CVS,sample-hilife,,[商品] 萊爾富 起司雞肉捲,萊爾富,起司雞肉捲,,商品,viewer2,噓,"沒味道,不推",2026/6/7 09:06,貼文品牌=萊爾富; 商品=起司雞肉捲; tag=商品; 標題=[商品] 萊爾富 起司雞肉捲,負,本牌,否,不明,
