product_id,official_name,verdict
7-11::LADEARS法式檸檬塔,LADEARS經典檸檬塔,different
7-11::世界的山將夢幻唐揚雞,御料小館x世界的山將夢幻唐揚雞,same
7-11::佛蒙特咖哩雞肉飯,日式佛蒙特咖哩雞肉飯,same
7-11::催淚蛋親子丼飯,米香-催淚蛋親子丼飯,same
7-11::優菓甜坊可可玉米片奶酪,優菓甜坊可可玉米片鮮奶酪,same
7-11::南機場夜市八棟圓仔湯花生薏仁湯,八棟圓仔湯 花生薏仁湯,same
7-11::原賞吉士豬肉堡加蛋,吉士豬肉堡加蛋,same
7-11::可爾必思水蜜桃雪淋霜,可爾必思水蜜桃霜淇淋,same
7-11::吉伊卡哇卡士達麻糬泡芙,吉伊卡哇草莓卡士達麻糬泡芙,different
7-11::哇沙米秋鮭,哇沙米秋鮭飯糰,same
7-11::四川風味麻辣豆腐飯,極饗-四川風味麻辣豆腐飯,same
7-11::奶油手撕餐包,重量級-奶油手撕餐包,same
7-11::帕泰家椰香綠咖哩嫩雞飯,帕泰家-泰式綠咖哩嫩雞飯(辣),different
7-11::干貝海鮮煲粥,馨苑干貝海鮮煲粥,same
7-11::新極上御飯糰蔥鹽生鮭,新極上飯糰-蔥鹽生鮭,same
7-11::新極上飯糰煙燻鮭魚,新極上飯糰-煙燻銀鮭,different
7-11::日式蕎麥風味麵,日式豆皮蕎麥風味冷麵,different
7-11::日東紅茶皇家奶茶,日東紅茶皇家奶茶霜淇淋,different
7-11::昂舒巴黎雙餡泡芙,昂舒巴黎卡士達雙餡泡芙,different
7-11::春上方塊戚風杯草莓,春上方塊戚風杯(北海道奶霜),different
7-11::晨光巧克力生土司,晨光GOLD巧克力生土司,different
7-11::極饗番茄蛋湯麵,極饗-蕃茄蛋湯麵,same
7-11::極饗豪華秘製雙拼,極饗-豪華秘製雙拼餐盒,same
7-11::水蜜桃霜淇淋,水蜜桃牛奶霜淇淋,different
7-11::法式經典可頌,貝洛邦法式經典可頌,same
7-11::泰式打拋豬肉飯,頌丹樂-泰式打拋豬肉飯,same
7-11::泰濃郁奶茶風味霜淇淋,泰濃郁！奶茶風味霜淇淋,same
7-11::港式油雞臘味飯,晶華-港式油雞臘味飯,same
7-11::滑蛋嫩雞親子丼,一鍋燒-滑蛋嫩雞親子丼,same
7-11::煙燻鮭魚帆立貝沙拉,煙燻鮭魚、帆立貝沙拉,same
7-11::獨饗雙起司蔥抓餅,獨饗三起司蔥抓餅,different
7-11::生乳布丁,生乳烤布丁,different
7-11::紐奧良風味烤雞堡,紐奧良風味烤雞,different
7-11::統一布丁冰沙,統一布丁(焦糖出走咘布),different
7-11::統一布丁霜淇淋,布丁霜淇淋,same
7-11::統一木瓜牛奶霜淇淋,統一木瓜牛乳霜淇淋,same
7-11::綠竹筍排骨湯,膳馨綠竹筍排骨湯,same
7-11::維力炸醬巧克力拌麵,極饗-維力炸醬巧克力拌麵,same
7-11::芋頭排骨酥湯麵,芋頭排骨酥湯,different
7-11::花生米血糕,花生粉米血糕,same
7-11::薄荷巧克力霜淇淋,巧克力霜淇淋,different
7-11::蜂蜜奶霜鬆餅,蜂蜜奶霜Q鬆餅,same
7-11::蜂蜜牛奶霜淇淋,海鹽蜂蜜牛奶霜淇淋,different
7-11::起司歐姆蛋包飯,歐姆蛋包飯,different
7-11::開心果奶霜菠蘿,開心果奶霜脆糖菠蘿,different
7-11::雪淋霜香檳葡萄霜淇淋,香檳葡萄霜淇淋,same
7-11::青醬蛤蜊義大利麵,青醬蛤蠣義大利麵,same
7-11::順天本草輕點龜苓膏,順天本草輕點龜苓膏-蜂蜜,different
7-11::頌丹樂泰式打拋豬飯糰,頌丹樂-泰式打拋豬肉飯,different
7-11::頌丹樂泰式烤雞冷麵,頌丹樂-泰式酸辣雞腿冷麵,different
7-11::香蒜雞胸鮮蔬餐盒,香蒜烤雞鮮蔬餐盒,different
全家::KIRINiMUSE乳酸菌檸檬水,iMUSE乳酸菌檸檬水,same
全家::MM巧克力酷繽沙,MM巧克力牛奶酷繽沙,same
全家::Niseko厚奶奶酥幸福杯,Niseko牛奶巧酥冰幸福杯,different
全家::Niseko海鹽焦糖脆皮雪糕,Niseko海鹽焦糖雪糕,different
全家::Niseko牛奶巧酥幸福杯,Niseko牛奶巧酥冰幸福杯,same
全家::丹麥波蘿可頌,丹麥菠蘿可頌,same
全家::仙女紅茶,新熱仙女紅茶,different
全家::光泉富維他牛奶,光泉富維他牛乳,same
全家::光泉無加糖豆漿,光泉無加糖黑豆漿,different
全家::冬瓜QQ撞奶,特大冰冬瓜QQ撞奶,different
全家::剝皮辣椒雞奶油細扁麵,剝皮辣椒細扁麵,different
全家::匠土司綿柔鮮奶土司,綿柔鮮奶土司,same
全家::匠生土司,生土司,different
全家::午后時光重乳哈密瓜奶茶,午后時光重乳西瓜奶茶,different
全家::古娃娃茉香綠茶奶蓋雪糕,茉香綠茶奶蓋雪糕,same
全家::古娃娃蜜桃山茶花金萱奶蓋雪糕,蜜桃山茶花風味金萱奶蓋雪糕,same
全家::台酒花雕雞湯,台酒花雕雞麵,different
全家::味丹超涼青草茶,味丹青草茶,different
全家::墨西哥奶酥麵包,墨西哥葡萄奶酥麵包,different
全家::夏芒粉角青茶,特大冰夏芒粉角青茶,different
全家::大成茶葉蛋白,茶葉蛋白,same
全家::好丘藍莓乳酪貝果,藍莓乳酪貝果,same
全家::寒天甘蔗檸檬,特大冰寒天甘蔗檸檬,different
全家::山海樓古早味炒炊粉,古早味炒炊粉,same
全家::布丁捲蛋糕,一顆布丁捲蛋糕,same
全家::康貝特200PEX能量飲料,康貝特200P能量飲料,different
全家::抹茶冰心乳酪條,冰心乳酪條,different
全家::抹茶白玉酷繽沙,抹茶白玉牛奶酷繽沙,same
全家::曠世奇派蘭姆葡萄雪糕,超級曠世奇派蘭姆葡萄雪糕,different
全家::果香甘口咖哩飯,金咖哩果香甘口咖哩飯,same
全家::椒麻溫泉蛋,椒香溫泉蛋,different
全家::泰奶奶蓋QQ三明治,雙泰奶QQ三明治,different
全家::泰式綠咖哩雞飯,泰式綠咖哩雞,different
全家::泰式蛤蜊酸辣寬粉,水水灶咖-泰式蛤蜊酸辣寬粉,same
全家::淡麗清酒蒸蛤蜊飯糰,淡麗清酒蒸蛤蜊烤飯糰,same
全家::清酒蒸蛤蜊烤飯糰,淡麗清酒蒸蛤蜊烤飯糰,same
全家::減糖虎皮天使蛋糕,虎皮天使蛋糕,different
全家::港式香滑嫩蛋牛肉燴飯,港式滑蛋牛肉燴飯,different
全家::炸彈奶酥麵包,奶酥麵包,different
全家::焙茶拿鐵,大熱焙茶拿鐵,different
全家::無敵家監修大蒜豚骨醬油風味拉麵,監修大蒜豚骨醬油風味拉麵,same
全家::煮煮泰式綠咖哩雞,泰式綠咖哩雞,same
全家::熟成紅鮭,熟成紅鮭飯糰,same
全家::燒燒仙草,大熱燒燒仙草,different
全家::牧場直送4.0海鹽焦糖牛奶雪糕,牧場直送4.0牛奶雪糕,different
全家::狠飽兩粒飯糰,兩粒飯糰(鮪魚、焦糖鮭魚),different
全家::王子杯麵,王子麵,different
全家::玫瑰莓果康普氣泡茶,Kai玫瑰莓果康普氣泡茶,same
全家::甘梅薯條,甘梅地瓜薯條,different
全家::生果粒草莓滿餡麵包,果粒草莓滿餡麵包,different
全家::生榛果濃可可滿餡麵包,榛果濃可可滿餡,different
全家::白蘭氏養蔘元氣凍,白蘭氏莓果口味養蔘元氣凍,different
全家::百事生可樂,百事可樂,different
全家::糖燻野狼炙燒牛烤飯糰,糖燻野郎起司炙燒牛烤飯糰,different
全家::紅心芭樂牛奶,特大冰紅心芭樂牛奶,different
全家::紅豆燕麥麵包,紅豆麵包,different
全家::經典黑炫酷繽沙,經典黑炫牛奶酷繽沙,same
全家::義美仙草奶茶,義美仙草甘茶,different
全家::脆皮泡芙,可可脆皮泡芙,different
全家::芋賣尬酷繽沙,芋賣尬牛奶酷繽沙,same
全家::芒好喝酷繽沙,芒好喝牛奶酷繽沙,same
全家::茉莉茶園紅柚淺焙,茉莉茶園紅柚淺焙烏,same
全家::莫札瑞拉青醬火腿貝果,莫札瑞拉起司火腿貝果,different
全家::蜂蜜鬆餅,經典蜂蜜鬆餅,different
全家::詹姆士香蒜胡椒肉骨茶泡麵,詹姆士香蒜胡椒肉骨茶麵,same
全家::貝納頌蜜香堅果風味,貝納頌蜜香堅果風味拿鐵,same
全家::起司遇見芋見肉鬆三明治,起司芋見肉鬆三明治,same
全家::金豐盛蒜香紐奧良風味雞Q丸,蒜香紐奧良風味雞Q丸,same
全家::鐵板滑蛋豬排丼,星-鐵板滑蛋炸豬排丼,same
全家::開心果巧克力,開心果巧克力起司,different
全家::雙響泡爆香牛肉湯麵,爆香牛肉湯麵,same
全家::雞肉便當,好吃雞肉便當,different
全家::雪花蛋糕,綿蜜雪花蛋糕,different
全家::養元雙月養仙茶,雙月養仙茶,same
全家::香蒜胡椒肉骨茶麵,詹姆士香蒜胡椒肉骨茶麵,same
全家::香蕉火龍果牛奶,特大冰香蕉火龍果牛奶,different
全家::香辣醬蒜味香腸蛋炒飯,香辣醬香腸蛋炒飯,different
全家::鮪魚起司溏心蛋,鮪魚起司溏心蛋三明治,same
全家::鮭魚蛋炒飯,香鮭蛋炒飯,different
全家::鮮乳坊綿乳杯子蛋糕,綿乳杯子蛋糕,same
全家::鮮乳坊馬鈴薯玉米濃湯,馬鈴薯玉米濃湯,same
全家::黑糖QQ撞奶,大熱黑糖QQ撞奶,different
全家::鼎泰豐香辣醬粉絲煲,香辣醬粉絲煲,same
