brand,official_name,kcal,servings,first_seen,last_seen
7-11,(熱壓土司)八棟花生麻糬,305,,2026-09-26,2026-09-26
7-11,(熱壓土司)厚起司蛋,333,,2026-09-26,2026-09-26
7-11,(熱壓土司)紐奧良風味烤雞,293,,2026-09-26,2026-09-26
7-11,(熱壓土司)里肌肉蛋,287,,2026-09-26,2026-09-26
7-11,(盒)玉米起司蛋餅,288,,2026-09-26,2026-09-26
7-11,(蔬)酸辣湯,78,,2026-09-26,2026-09-26
7-11,21 Plus義式烤雞堅果沙拉,180,,2026-09-26,2026-09-26
7-11,21Plus主廚烤雞時蔬餐,432,,2026-09-26,2026-09-26
7-11,21Plus主廚烤雞沙拉,94,,2026-09-26,2026-09-26
7-11,21Plus剝皮辣椒雞胸肉,163,,2026-09-26,2026-09-26
7-11,21Plus嘉義風味雞肉飯,639,,2026-09-26,2026-09-26
7-11,21Plus地中海風味雞肉麵沙拉,394,,2026-09-26,2026-09-26
7-11,21Plus泰式蒟蒻麵沙拉,57,,2026-09-26,2026-09-26
7-11,21Plus甘梅薯條,209,,2026-09-26,2026-09-26
7-11,21Plus莎莎醬繽紛雞肉冷義麵,346,,2026-09-26,2026-09-26
7-11,21Plus蒜香鹽酥雞,281,,2026-09-26,2026-09-26
7-11,21Plus藜麥毛豆嫩雞丁,161,,2026-09-26,2026-09-26
7-11,21Plus雙色地瓜,208,,2026-09-26,2026-09-26
7-11,21xBEING Fit桃木燻雞胸,120,,2026-09-26,2026-09-26
7-11,21風味館烤雞蔬食盒餐,266,,2026-09-26,2026-09-26
7-11,AB+益菌優格135g,136,,2026-09-26,2026-09-26
7-11,Binggrae香蕉牛奶霜淇淋,151,,2026-09-26,2026-09-26
7-11,Homeal x 壹番屋 奶油咖哩雞肉飯,592,,2026-09-26,2026-09-26
7-11,Homeal x 日式牛丼,497,,2026-09-26,2026-09-26
7-11,Homeal x貳樓烤雞佐青醬義大利麵,529,,2026-09-26,2026-09-26
7-11,Homeal x貳樓雙起司肉醬義大利麵,492,,2026-09-26,2026-09-26
7-11,Homeal x鄧師傅-塔香風味炒花蛤,296,,2026-09-26,2026-09-26
7-11,Homeal x鄧師傅-客家小炒,310,,2026-09-26,2026-09-26
7-11,Homeal x鄧師傅-鳳梨糖醋肉,408,,2026-09-26,2026-09-26
7-11,Homeal 奶香起司烤雞筆管麵,569,,2026-09-26,2026-09-26
7-11,LADEARS北海道生乳捲,198,,2026-09-26,2026-09-26
7-11,LADEARS經典檸檬塔,256,,2026-09-26,2026-09-26
7-11,LaDears提拉米蘇蛋糕杯,197,,2026-09-26,2026-09-26
7-11,LaDears榛果脆脆可麗捲,287,,2026-09-26,2026-09-26
7-11,LaDears法式乳酪塔,202,,2026-09-26,2026-09-26
7-11,LaDears焦糖布蕾馬卡龍,136,,2026-09-26,2026-09-26
7-11,LaDears焦糖海鹽達克瓦茲,117,,2026-09-26,2026-09-26
7-11,LaDears芋泥波士頓派,177,,2026-09-26,2026-09-26
7-11,LaDears芋泥生乳捲,188,,2026-09-26,2026-09-26
7-11,LaDears草莓黑森林蛋糕,294,,2026-09-26,2026-09-26
7-11,Marinfood煙燻乾酪,170,,2026-09-26,2026-09-26
7-11,OPEN!蘋果吸凍飲PP220,165,,2026-09-26,2026-09-26
7-11,OPEN!雙葡萄吸凍飲PP220,148,,2026-09-26,2026-09-26
7-11,SAY CHEESE培根筆管麵,733,,2026-09-26,2026-09-26
7-11,Semeur冠軍蛋黃酥,286,,2026-09-26,2026-09-26
7-11,Simple Fit黃金玉米棒,167,,2026-09-26,2026-09-26
7-11,TOMMI櫻花蝦油飯堡,304,,2026-09-26,2026-09-26
7-11,The Smurfs 藍莓戚風夾心蛋糕,91,,2026-09-26,2026-09-26
7-11,一日野菜-八種蔬菜溫沙拉,101,,2026-09-26,2026-09-26
7-11,一日野菜-和風海藻,32,,2026-09-26,2026-09-26
7-11,一日野菜-活力彩蔬,96,,2026-09-26,2026-09-26
7-11,一日野菜-海藻沙拉,36,,2026-09-26,2026-09-26
7-11,一日野菜-農夫十蔬,89,,2026-09-26,2026-09-26
7-11,一甲子餐飲經典台式碗粿,239,,2026-09-26,2026-09-26
