fingerprint,brand,product_name,rule_guess,category,model,prompt_version
004d30eb56e9b792c88ea042f56b3185b536f6fa1cc81c65c3e1ac271a237530,全家,LULU豬捏捏球罐頭盲盒,周邊,周邊,claude-opus-5,product-category-v1
005a52049975d83fd0716164cb079304129019df79d303113a139a2f1c4ffd00,7-11,CAFEN咖啡夾心雪糕脆脆,冰品,冰品,codex,product-category-v1
0092241313b9df0a68bc1fe64362865803a2389d52b5072e8aa89bb1cfb2ffda,全家,香蕉火龍果牛奶,飲料,飲料,claude-opus-5,product-category-v1
00a7ba1a4a81a297e0c670fa5bc740008f7d5d3b5d711e03565d9a5d789c9fae,7-11,紫桑果粒紅茶青茶,飲料,飲料,codex,product-category-v1
00aef6327f9a9a48b0bdb096baed6516da813b0e7dd1288e83e245e0bbbc03d4,全家,姬肯纖女蔬滿盒,其他,便當,codex,product-category-v1
00ce363fa8e3077ce5ec6de5c43f82d79fc7c598fc3d18ad834160e3157b3352,7-11,京醬肉絲飯糰,便當,便當,claude-opus-5,product-category-v1
00ebc2689d9f76f49fe0c3235de3c042dcbeba53ebd95dac74db4481efa047b9,7-11,御飯糰高雄櫻花祭生鮭魚夾心飯糰,便當,便當,claude-opus-5,product-category-v1
0102f9bc27d4dab6f45d40147ebb2a82e27e859ca2a6101f96fe90a6ba841295,全家,香料咖哩雞肉烤飯糰,便當,便當,claude-opus-5,product-category-v1
0110ea9dac6466672e2e943002a5cfbb65378345b14da45a74d276903ae83e74,7-11,番茄蔬菜魚湯,其他,便當,codex,product-category-v1
011c87fbc7e126012baa3d586928353536416e042b4b7fb15c8065cf95b547cb,全家,提拉米蘇千層蛋糕,甜點,甜點,codex,product-category-v1
013b966971261657cab3fbd42b42920839864b061f9fd3b07f62c9e9eb93d46c,全家,小白鹽味飯糰,便當,便當,codex,product-category-v1
0177220097a09e37f93575e5a5cd18f594135f33a4f580d57d945370ed9d02ff,全家,夏茉紅心芭樂,飲料,飲料,claude-opus-5,product-category-v1
01792a08396eacf03978ecf34349c3109ffd7a19b0f3045a297ceadaad4cbc61,7-11,有袋乖乖箱,零食,零食,codex,product-category-v1
01c5d8eaa93ed64429f6ac418afb63b98c8964952567feecd5ab670a5242a641,7-11,美式BBQ燻腸熱壓土司,麵包,麵包,codex,product-category-v1
01c6194a5b4da9ec57275231d4aef941e05135925a1de2b443171a988f4313a9,全家,詹姆士香蒜胡椒肉骨茶泡麵,泡麵,泡麵,claude-opus-5,product-category-v1
01db87f05a2d75efe76d94ed3bf9e2ec1bafc295c01c3201503ceacabb0c26e2,7-11,滑輪冰霸杯組合,周邊,周邊,claude-opus-5,product-category-v1
01ff7bc36d62c4aa1810a142fc9b972632e408f064a96ceba8e9c4f3e0578a28,7-11,和風漢堡餐,鹹食,便當,codex,product-category-v1
020b66bc1b9165e15c3a1e89ef7118dbaafedfe6f46581328fdca41e7a0817d1,全家,椒麻米血水水灶咖,其他,鹹食,codex,product-category-v1
0210ca13b1a153290f5b52eea98291f2cc189ce76135f955d23935eb3234735e,全家,草莓優酪霜淇淋,冰品,冰品,claude-opus-5,product-category-v1
02147a17b0723c79ee8bea66499695474e7f187e4c60b0ff2c2a442f4a869b21,7-11,貝洛邦雙重起司德腸麵包,麵包,麵包,claude-opus-5,product-category-v1
0218bd5682dc977eb5e515be5c223edd60010b65db6a1d6b7a04edad957873d6,全家,蠟筆小新炒麵,便當,便當,codex,product-category-v1
021f6340360225a9234cef7adfc257589f96ce939bee482a08b668faa1f4b455,全家,仙草霜淇淋,冰品,冰品,claude-opus-5,product-category-v1
0235b0ab9f76239a9ffd3c49fb53dba3b472098caeb9d5c27005d690d54fa470,萊爾富,藍色檸檬風味飲,其他,飲料,codex,product-category-v1
029caaaf72799d21039d548f956cd9a337eff893f7fcc5d1c04a0d34f902241c,全家,涼拌越式麵沙拉,便當,便當,codex,product-category-v1
02c90b8b892661e1db4ba0ac30a5b4a068c335bfc50f3def6b3443c2a07c5ae3,全家,明太子乳酪起司沙拉飯糰,便當,便當,claude-opus-5,product-category-v1
02d3c689c03ffb5777021a93cad1ae01bd86abd2902eb65bafdb83bb52d76c9f,7-11,帕泰家椰香綠咖哩嫩雞飯,便當,便當,claude-opus-5,product-category-v1
02d8c0a063321f5d1360e4669390f976a2a28e34152831d9876011e7fc839cec,7-11,桂圓核桃蛋糕,甜點,甜點,codex,product-category-v1
02e253355ce3c892bcd6448c19e51b7c6b12848f6a29fdd5c8de733d6f0792c8,萊爾富,地瓜起司雞排三明治,麵包,麵包,claude-opus-5,product-category-v1
030b11b218fd34453cde650cb2c5bb73c0f3636cd207ec5a3ec39bbf6d4aeeee,全家,錦霞樓胡椒豬肚排骨湯,便當,便當,codex,product-category-v1
0324b6696cb8e77a3f0b72e07b48135f03b9767d9e83a23ee06447b41ab075e8,全家,雙月檸檬愛玉凍,其他,甜點,claude-opus-5,product-category-v1
032c345a1cddf0be5fe1b0e191fcca5114b34e6fd34e31b5c53954c31f32d05b,全家,杏仁可可蜂蜜蛋糕,甜點,甜點,claude-opus-5,product-category-v1
03712277e424aaae65df7a68783ad0ab4bc37b641e36c43da96855a75c357540,全家,巧克力爆漿蛋塔,甜點,甜點,codex,product-category-v1
037d241303ce7f8178926e58b2da38d49442800f8c8d968874486a34d1cfe1e2,7-11,紅豆奶油軟法,其他,麵包,codex,product-category-v1
038f73ff0bf2cca507864285bbcc6a32eb96d82dcdfcf3d8779f2ef5ddafa6ac,7-11,西雅圖開心果風味咖啡,飲料,飲料,claude-opus-5,product-category-v1
03b2f1e7d9e5475b32dfc9bdbc9b29b6867e9bf31df7fd940b248a66852680a1,全家,生香濃花生滿餡麵包,麵包,麵包,codex,product-category-v1
03b47f2b12bfb8a4f2b13a5274573c818d9a545afbf402d0968ba9270d79ee93,全家,羅勒海鮮雲朵湯義大利麵,便當,便當,codex,product-category-v1
03e012b6e72fd5160e0d32e08bcc6061cdd910393bc39036decfb73772dccb88,7-11,北菇滑雞燴飯,便當,便當,claude-opus-5,product-category-v1
0400d01211e4cbe53b797e2d62015fd8d2ccbdbbb6041ed2fc55a994ac95e3f2,全家,Pergale香檳風味綜合含餡巧克力,零食,零食,codex,product-category-v1
0410885e34ff098d518918658230f3ffae1153993e24fd86f2ad274ad59fe3e1,7-11,昂舒巴黎伯爵奶蓋泡芙,甜點,甜點,codex,product-category-v1
041d5a087d45f4b9b970b37f4b8a4a7213e78de81978dd7466fd79461477988f,7-11,龜記蘋果紅萱,飲料,飲料,claude-opus-5,product-category-v1
0434e411be4d13372ff44b76fa0b064745f3ca8a70b1bd3c859a7e3b00501e52,全家,伊藤園抹茶焙茶綜合霜淇淋,冰品,冰品,codex,product-category-v1
043f308d833710f6ed08be3589c9c20382ae3b2136316878fa34cbfb17056ed2,7-11,華盛頓空運櫻桃杯,其他,其他,codex,product-category-v1
0453709b149f545ea51eb7f1b14fa552c16039a2dd87026add9fae4f2d667b47,全家,MMS巧克力蛋糕,甜點,甜點,claude-opus-5,product-category-v1
047de6063f8c5a171c5f98b3521c94c8c751275215e5aa5864ee4746d0ea73b0,全家,LetsCafé經典冰磚拿鐵,飲料,飲料,codex,product-category-v1
048ab52dff8ad624317c0c9cd135be172838426ee2a2cecd8a069567bcd355b0,全家,褲褲兔福袋,其他,周邊,claude-opus-5,product-category-v1
04a62ad7801e86738e5ede26128e5ba2f6aa734cd4be558d1f92475c9f27157d,萊爾富,鹹奶油玉米杯,其他,鹹食,claude-opus-5,product-category-v1
04a8728df1fc40158cdca9152524e70e7dd07f5d7b0e3588a6fcd1486dc2c16a,7-11,現萃茶琥珀小葉奶茶,飲料,飲料,claude-opus-5,product-category-v1
04ada57a0a8724252445551e0c4e4e819c8872678583b303745f2bfff9163191,7-11,飛燕煉乳炸銀絲卷,其他,鹹食,claude-opus-5,product-category-v1
04d3b623ec1265418feed4895f4b000238e587ec467f726b85a58cc9a9b42fca,7-11,彩虹可頌,麵包,麵包,claude-opus-5,product-category-v1
04e3fffc4bd6ee0ce946f264c0309a1afb93d2a1b369d4a2b5a8f415cece6fd6,全家,芋見椰椰夾心,其他,甜點,codex,product-category-v1
05114f36764faecb74f10ea7afad7d23fe50487732a006e319e9216f8732cb46,7-11,韓式爆漿燻腸起司飯卷,乳品,便當,codex,product-category-v1
051cb786b4c3150d84706888b074131933409681e55c6ffd755498ec59a9b2ef,全家,粗飽系鋪天蓋地蒸蛋飯,其他,便當,codex,product-category-v1
052003258be6b0e02d375ddab46d6f8862867fb0b961c78c2e4539c1ffea8b75,OK,鮪魚蛋沙拉三明治,麵包,麵包,codex,product-category-v1
054478ca8bacff8baa4ea5acee1289130ce74002ce955c45924523e403867c17,全家,日式豬排佐咖哩歐姆蛋燴飯,便當,便當,codex,product-category-v1
055297dfff817db80d5714ff43441ddce18950bb2c73406a9c07e3db4e3aef6f,全家,柚4嫩雞胸塊,鹹食,鹹食,claude-opus-5,product-category-v1
056bc952cc818f086bcc09529d9df2abf09a96121e8e5e429802d894c585c308,7-11,伯朗黑糖奶茶,飲料,飲料,claude-opus-5,product-category-v1
059380e6d6afa9359043b4a47fcee2389cdc590a5378b3de8be22832beb7a638,全家,紅豆牛奶巧克力霜淇淋,冰品,冰品,codex,product-category-v1
05bd234078d8271cd6a4db3e05b026fd2e53223fb847ce83dba4e65c33176a11,7-11,滑蛋嫩雞親子丼,便當,便當,claude-opus-5,product-category-v1
05c85a4947dc1bb3843586a6012c97440e94c75ae4f53aa94afaf291f2066ea0,全家,德式香腸酸菜燻腸飯捲,甜點,便當,claude-opus-5,product-category-v1
05d0cb47aaea4d239b07965c70c67b55b71112cc0f0b2842f1bc0a6ed0fd4efe,7-11,福樂X一手私藏世界紅茶蜜斯茶拿鐵蜜桃風味,飲料,飲料,codex,product-category-v1
05f797942b760f56fd80f4940a8401315f6b0cd135e058d185f81840eb88b1dd,全家,暖心麻油雞鍋,便當,便當,claude-opus-5,product-category-v1
0611a8ee858a38595ffc51d4f8b873d8ebd66488c652642a241e11c1404d424c,7-11,臺虎檬娜荔莎,其他,飲料,codex,product-category-v1
061d6c4ee6d5a3354acfdd0899a8987a5e1c58581fbd0245a3c328ff4ee3bfab,7-11,福樂低脂超能蛋白營養牛乳堅果可可,零食,乳品,codex,product-category-v1
062c3e9a9ace116e607c35a071c7a6ffde7c94220144aeeb346b37d14c0b2af1,7-11,法國法芙娜巧克力可麗露,零食,甜點,codex,product-category-v1
063e600ca7cd50f35eca2b7464bc0cffb3d825fbeeab07d4d37ac01cad86ff4d,全家,多喝水STAYCOOL酷涼礦物質補給飲,其他,飲料,codex,product-category-v1
0653b8aee957445a402203a413e730a04a9ec609c6d8dbe57ec727f33e84c04f,全家,杏仁國寶奶茶,飲料,飲料,codex,product-category-v1
065a8688c61399431a564e859e671321e997d8bf1b5478c2a79f44ad853933c8,7-11,黃金炸豬排玉子丼,便當,便當,codex,product-category-v1
065d4348147d14f94150c7fc894fedfd9318b84a11b65adfdc7281737aaf6e68,全家,抹茶蜜桃乳酪貝果,麵包,麵包,codex,product-category-v1
066008b5878aba1167e48bdc65e1a65386ce20bfbc3af34bfa26057064d5397b,7-11,開心果奶霜菠蘿,麵包,麵包,claude-opus-5,product-category-v1
0681058cd61bf8e39832da608d5febc515db143477af1858203d2d2c6fc1f89b,全家,木瓜是芭樂系霜淇淋,冰品,冰品,codex,product-category-v1
06afd5343377414c9d1ef6adeabc7e5c7e5fd35cc2927a95b0fa9a51476bf9ae,全家,番茄蛋花湯,其他,便當,codex,product-category-v1
06b957055ff9ffdbafde6992656388cee65acc2168d8bcdb9b51fb3cf9427fa8,全家,哈姆起司麵包,麵包,麵包,codex,product-category-v1
06bc491369fdb789227e423039c6ac000b5fa4054094f6b65834a3fe9ad7b83d,7-11,獨饗雙起司蔥抓餅,乳品,鹹食,codex,product-category-v1
06c580daf57124812ca80b4c1333718aad8c2864fcd51f429f66c4d7945a0b25,萊爾富,X頂呱呱娃包,其他,周邊,claude-opus-5,product-category-v1
06f44bb67904f3745944a731ee1420009cc7f5a24c57585a0743ebb7680d5888,全家,野郎鬼椒雞腿飯捲,便當,便當,codex,product-category-v1
06fff31b849516053e77c2dd33acc6579341876f2e0c82c42017b9b81b366415,7-11,得正起司奶蓋焙烏龍奶酪,甜點,甜點,claude-opus-5,product-category-v1
07015a9d49e2708eb96c86abf12a7cf2f6bc21c374211d739877f083c78299be,全家,小壽桃,其他,甜點,claude-opus-5,product-category-v1
07248ce18fb3168de394a3d515c7750c79b5cdbd56ec314f87fec8a8a336f1b6,7-11,半熟玉子辣擔擔義大利麵,便當,便當,claude-opus-5,product-category-v1
07cb8c3ec4059d486bbc0107d46620a4b542ba1187f133411ddf7b04e20ff3f9,全家,杯塞,其他,周邊,codex,product-category-v1
07d64956aec07be49d267bc8e5f7dadcb82b6b0f8282095f5459adb28d3f447f,全家,沙嗲雞肉,其他,鹹食,claude-opus-5,product-category-v1
07f707fa4ea22bcb7e2d631b79f12b906eff29e71847463434e9b6da34997ec6,全家,芋泥奶黃大福,甜點,甜點,codex,product-category-v1
0805b3d4e2b202585268627170a1499732e1d4c6c5759cfd647e6c0dec5f7dc4,全家,醇濃黑巧鬆餅,甜點,甜點,codex,product-category-v1
082441393016387b5e13da7d7f7ed4343ae7565d1df33cae2662a9bae0fdbb1c,7-11,Snickers士力架牛奶糖風味,飲料,零食,codex,product-category-v1
082682030b9ae6137d8f133d4b7581a5c244603bb1eecfd95b36bba90844d2a6,7-11,新台味泰式冬蔭鍋,便當,便當,claude-opus-5,product-category-v1
0840d3a48ccc707b2d4ff34b3f65623f93b8c92b0815873d4a841c941fe262ee,全家,苦瓜檸檬飲,其他,飲料,claude-opus-5,product-category-v1
08502baf5f447670d91efab3c61a29a99b398c6d75e5c7ce4fc31185162c42d3,7-11,極饗蕃茄蛋湯麵,泡麵,便當,claude-opus-5,product-category-v1
085b7dbfdb365681658656ec70a59e1420bd4355264440d0d9bcf56a9adbd79e,7-11,神秘綠,其他,冰品,codex,product-category-v1
087ceded0f9b64e32ab8ab966b3b1d5c42a8e0ef055c6304a449b0bd8cda51b6,萊爾富,生乳你個布丁,甜點,甜點,claude-opus-5,product-category-v1
08b789db68d1209a956ae705a6403660cd2ea1af47596dc3f61cc8e1951855a3,7-11,琥珀小葉紅茶,飲料,飲料,codex,product-category-v1
08c3982047cc00399e50de9214402eefe1b5f671d45378a13ce8215c5277ba32,7-11,牛肉起司可頌,麵包,麵包,claude-opus-5,product-category-v1
08c8e3329861ef5ce09b0aee2492c9008b623f1c44bd58fc7deb590181ce6737,全家,恐怖程度,其他,其他,claude-opus-5,product-category-v1
08d11c94014ec70a3ee08397febcabe434d3584a53a334c742c8fc45869c21b9,萊爾富,韓式辣醬鮪魚夾心土司,麵包,麵包,claude-opus-5,product-category-v1
0933ce0876ef15c99cb3718c5e4d9fdc9176820935d39b421e3e4c640abf3777,全家,MMS巧克力豆抱枕,零食,周邊,claude-opus-5,product-category-v1
093f6b5a409f66e3513be0b8ccd10a635537119f0e572efa485d0ab4350ffdcb,全家,Rody摺疊置物箱,周邊,周邊,claude-opus-5,product-category-v1
0943a33d2e06e14b0b132a60c6fc89369e1e1bf017c69f8472407c1015664665,萊爾富,古早味奶茶,飲料,飲料,codex,product-category-v1
0970e5c7e826d81dba1f012af07e16c2475d794178599e545a59211cce5c89ae,萊爾富,嘉義油飯,便當,便當,claude-opus-5,product-category-v1
09794fdf63852842bf274548385a54e32cb7faff834758a9f7ede8ca10cb8192,全家,草莓乳酪千層夾心,甜點,甜點,codex,product-category-v1
099059805074e329f51672b05077262f5efe4b162b4427656c9fd6480c1715ee,7-11,檸檬起司酷聖石霜淇淋,冰品,冰品,codex,product-category-v1
09999e46aca703c7245793307bb278181822b4a0b5b5530b7e30ca1002622dad,7-11,米香台菜御品佛跳牆,便當,便當,claude-opus-5,product-category-v1
09a60ba9932a5d9eb89067a229e5b11b11a272b65bf2a9d6929623ba5e4b2372,萊爾富,果C果昔曖昧打翻了梅子番茄,飲料,飲料,codex,product-category-v1
09af8823e738119cd3213ef213823a044b455f331532c47eb20158f61a1f772f,7-11,蜂蜜鬆餅巧脆甜心冰淇淋,冰品,冰品,codex,product-category-v1
09b2a24be496dcd5e97642da0ebaaa387f10d057a3790268699b4491a32f64d9,7-11,KIRIN冰結調酒氣泡芒果,飲料,飲料,codex,product-category-v1
09cee47080b0327b3ae0d733818363e56f266350350c516a2ca94b2b6f116f1b,全家,卡迪那95度C北海道原味薯條,鹹食,零食,codex,product-category-v1
