fingerprint,item_index,brand,title,raw_name,product_name,price,model,prompt_version
002d6e831a2dc74dfbe8e4a9fad6a831f9516c3c00f5158eb3b1504766cec603,0,全家,[商品] 全家 麻婆豆腐波浪拌麵,"：麻婆豆腐波浪拌麵 / 89元
        
(區域型商品請註明 試吃試用品請標示價格0元)",麻婆豆腐波浪拌麵,89,gpt-5.6-luna,product-name-v1
002f143dd0d9d37246a26a5ac33abcfc9057297061a4196cfdef82b36fdf7f36,0,全家,[商品] 全家 生吐司VS一般吐司 有差,：生吐司(單片)／35元；綿柔鮮奶土司(2片)/28元,生吐司,35,codex,product-name-v1
002f143dd0d9d37246a26a5ac33abcfc9057297061a4196cfdef82b36fdf7f36,1,全家,[商品] 全家 生吐司VS一般吐司 有差,：生吐司(單片)／35元；綿柔鮮奶土司(2片)/28元,綿柔鮮奶土司,28,codex,product-name-v1
004127afedffac9d6be570a3091ef4d2a696b336b31acec4aaeafe6416ecbefc,0,全家,[商品] pablo 可可布朗尼塔,"：全家 so hot 可可布朗尼塔$45
        
(區域型商品請註明 試吃試用品請標示價格0元)",pablo so hot可可布朗尼塔,45,gpt-5.6-luna,product-name-v1
005a7acffed4e854820b12fa7f50a0e7b1523c540de81f1d404c36218b0c482a,0,7-11,[商品] 7-11 DyDo白葡萄沙瓦風味氣泡飲,：DyDo白葡萄沙瓦風味氣泡飲/$39,DyDo白葡萄沙瓦風味氣泡飲,39,codex,product-name-v1
006f753048109a939fb8e1f04860e5a009aff27f6d0cbd97ebf5efe69b216d06,0,7-11,[商品] 7-11 韓國熊津大麥飲,：韓國熊津大麥飲/$39,韓國熊津大麥飲,39,gpt-5.6-luna,product-name-v1
0095358135541fd01040247d4472dc240483899f768e14980f23369732469ce7,0,全家,[商品] 全家 贅沢巧克力霜淇淋,"：贅沢巧克力霜淇淋 隨買跨店取4支98
        
(區域型商品請註明 試吃試用品請標示價格0元)",贅沢巧克力霜淇淋,25,codex,product-name-v1
00a0499a069d79b87934bf2fe94223fa96516c01419393f45b0b96eb05fca4c5,0,全家,[商品] 全家里肌豬排可可咖哩歐姆蛋飯/阿里山高,"：里肌豬排可可咖哩歐姆蛋飯99
阿里山烏龍55
折10元",里肌豬排可可咖哩歐姆蛋飯,99,gpt-5.6-luna,product-name-v1
00a0499a069d79b87934bf2fe94223fa96516c01419393f45b0b96eb05fca4c5,1,全家,[商品] 全家里肌豬排可可咖哩歐姆蛋飯/阿里山高,"：里肌豬排可可咖哩歐姆蛋飯99
阿里山烏龍55
折10元",阿里山烏龍,55,gpt-5.6-luna,product-name-v1
00ff0b1a8528186cd263d9a3534e8498d8a59f0a836f9766d6d7110e637ac775,0,全家,[商品] 全家 韓素燒若飯糰，唸一次,"：
韓素燒若飯糰 特價35元(原價45元)",韓素燒若飯糰,35,codex,product-name-v1
0124f04fb6c9accd84571f49aa1c0143d60d56f90f493bdb2447bba73a90893a,0,全家,[商品] 全家 義式蒜炒雞腿排義大利麵,"：99 友善食光70
        
(區域型商品請註明 試吃試用品請標示價格0元)",義式蒜炒雞腿排義大利麵,70,gpt-5.6-luna,product-name-v1
012ba666f861bfc4f60ef34fdc18fd7d66301ba5bfb3e4e808bb1401f44330b6,0,7-11,[商品] 7-11 時蔬豬肉味噌湯沙拉,：時蔬豬肉味噌湯沙拉 59元,時蔬豬肉味噌湯沙拉,59,gpt-5.6-luna,product-name-v1
012fe7989b9ccf44a285645988a4c2b5c82b4e28c6552af1a38da95ad0bc502b,0,7-11,[商品] 7-11 栗香地瓜,：栗香地瓜/49,栗香地瓜,49,gpt-5.6-luna,product-name-v1
0153de1ea64467df496097279538e01077e72f377d48654f61657ad477a71e90,0,7-11,[商品] 7-11 日式辛香豬肉咖哩飯,"：日式辛香豬肉咖哩飯 89
        
(區域型商品請註明 試吃試用品請標示價格0元)",日式辛香豬肉咖哩飯,89,gpt-5.6-luna,product-name-v1
0164ec2ce57187c23785d8884c9240dac1c86160c44446444307eb3d0aa1f6e6,0,全家,[商品] 全家 茉莉茶園香檸琥珀紅,：香檸琥珀紅/抽抽樂 兩件77折,香檸琥珀紅,,gpt-5.6-luna,product-name-v1
018481953d2b2605c3a2fdb29c16263792ea75878f9dd89dccc7a12fc360c4b9,0,全家,[商品] 全家 31冰淇淋棉花糖/跳跳糖口味,"：
31冰淇淋棉花糖/跳跳糖口味
99元

(區域型商品請註明 試吃試用品請標示價格0元)",31冰淇淋棉花糖跳跳糖口味,99,gpt-5.6-luna,product-name-v1
01afe45a2cddb6ffa533505e842ee5fcf0c0c96e5b148ac57114153838472c44,0,全家,[商品] 全家珍珠奶茶菠蘿.珍珠奶茶泡芙,"：珍珠奶茶菠蘿39元、珍珠奶茶泡芙45元
        
(區域型商品請註明 試吃試用品請標示價格0元)",珍珠奶茶菠蘿,39,codex,product-name-v1
01afe45a2cddb6ffa533505e842ee5fcf0c0c96e5b148ac57114153838472c44,1,全家,[商品] 全家珍珠奶茶菠蘿.珍珠奶茶泡芙,"：珍珠奶茶菠蘿39元、珍珠奶茶泡芙45元
        
(區域型商品請註明 試吃試用品請標示價格0元)",珍珠奶茶泡芙,45,codex,product-name-v1
01b4045feaec065ef092bf893959c12617d1e821a0b6e131a60693c76e2f5ed8,0,7-11,[商品] 7-11加賀屋鮮蔬魚肉湯泡飯,"：鮮蔬魚肉湯泡飯/99
        
(區域型商品請註明 試吃試用品請標示價格0元)",加賀屋鮮蔬魚肉湯泡飯,99,gpt-5.6-luna,product-name-v1
01c4d61a371bee6f872ec9ba20e0913f23a9379cf2f7ddc64c288895fa6def94,0,全家,[商品] 全家 杏仁可可蜂蜜蛋糕,"：杏仁可可蜂蜜蛋糕
原價45元，用優惠券買一送一
        
(區域型商品請註明 試吃試用品請標示價格0元)",杏仁可可蜂蜜蛋糕,45,codex,product-name-v1
01e6de2828fa0324abc5d38253d42a5ba04b34bac5c45b1a3dc1d1c31ea785d3,0,萊爾富,[商品] 萊爾富 法式烤雞乳酪白醬義大利麵,"：法式烤雞乳酪白醬義大利麵/89
        
(區域型商品請註明 試吃試用品請標示價格0元)",法式烤雞乳酪白醬義大利麵,89,gpt-5.6-luna,product-name-v1
020ff428fcde0e09ebc4d9f067f5e6b4e87fdaed6714a987e5972335c6508395,0,全家,[商品] 全家 青花驕 花椒香麻雞大口飯糰,：青花驕 花椒香麻雞大口飯糰 $62,青花驕花椒香麻雞大口飯糰,62,codex,product-name-v1
021311582b76adfd068ee6b9ea2ca3e9ca5ae27068f01f6cfb361fac87a057ba,0,全家,[商品] 全家咖啡濃餡卡士達蛋捲禮盒69折,咖啡濃餡卡士達蛋捲禮盒原價439元 69折後303元,咖啡濃餡卡士達蛋捲禮盒,303,gpt-5.6-luna,product-name-v1
021335ed3002b6e212dc842788f7f79170bcaa9bc1d9ab895742fda2df04542f,0,全家,[商品] 全家 香芋綿奶菠蘿,：香芋綿奶菠蘿/42元,香芋綿奶菠蘿,42,gpt-5.6-luna,product-name-v1
022e33d3614162c43901731a4dc655cc8c8b1c2132dc442c660cc53d0422cda5,0,全家,[商品] 全家 核桃腰果稻禾壽司組,： 核桃腰果稻禾壽司組/55 /38時光,核桃腰果稻禾壽司組,38,codex,product-name-v1
0249891f4e26d7a3b0d39824fe06d9bb4def3f46c69fcd0f1116968d31a152cc,0,全家,[商品] 全家青森蘋果霜淇淋,：青森蘋果霜淇淋11元 (全家取件優惠券購買),青森蘋果霜淇淋,11,gpt-5.6-luna,product-name-v1
026b40c9ebc71cf30ec28e90c4b54695fad5832f1ae4f54ef874151d325e9f1d,0,全家,[商品] 全家 泰式海鮮麵/海底撈清油麻辣鍋,"：海底撈 清油麻辣鍋/129(友善91)
        
(區域型商品請註明 試吃試用品請標示價格0元)",海底撈清油麻辣鍋,91,gpt-5.6-luna,product-name-v1
0276fd37cd93b52ef31901bb0e4e3b7cb0649776f8dfab7da02942a84ef7486e,0,全家,[商品] 全家 威士忌爆爆珠拿鐵,：威士忌爆爆珠拿鐵 / 89元,威士忌爆爆珠拿鐵,89,gpt-5.6-luna,product-name-v1
027dc655dd271cdc414938335ea3a34b1cbfef04c8b6418f99d182a64b934825,0,7-11,[商品] 711 法國巴黎女孩blonde金啤酒,"：
139
打折兩件140",法國巴黎女孩blonde金啤酒,139,gpt-5.6-luna,product-name-v1
02a1f747826c3ed95d75b438ff26dfa08b7a886a52289a40c1c8ac854fb31722,0,全家,[商品] 全家 春節福袋,"：全家 春節福袋/249
        
(區域型商品請註明 試吃試用品請標示價格0元)",春節福袋,249,gpt-5.6-luna,product-name-v1
