comment_id,品牌,商品,留言tag,留言內容,規則分數,llm分數,llm判定,理由,你的判定,備註
M.1779631192.A.AC3#016,全家,媽媽煮藝蒜香綜合滷味49香蒜胡椒肉骨茶麵,噓,超難吃,-1.0,-1.0,負向,直說難吃,,
M.1770259783.A.4B0#002,全家,unknown,噓,"你這隻明顯是店員的問題,當下可以反應換一隻的,自己不換上來這邊討拍已經於事無補了",-0.48,0.0,中性,店員問題,,
M.1769612697.A.096#001,7-11,開心果千層塔,→,真不好吃,-0.4,-0.8,負向,明確不好吃,,
M.1781364359.A.6DB#003,全家,藤椒雞丁炒飯,→,"份量少了點,肉沒幾塊,吃完真的小麻,喝飲料比較沒味道 :(",-0.28,-0.45,負向,量少肉少,,
M.1779373868.A.43A#003,7-11,鮮蝦明太子冷義大利麵,→,貴份量又少,-0.2,-0.55,負向,貴又量少,,
M.1781969433.A.C82#004,7-11,金沙滷肉粽香風味新極大飯糰,→,真正的3D油飯,-0.16,-0.25,負向,油飯揶揄,,
M.1781364359.A.6DB#013,全家,藤椒雞丁炒飯,→,打折可以買 味道很單純 跟想像差不多 還不錯吃但原價是真的不行XD,-0.06,0.25,正向,特價可吃,,
M.1781969433.A.C82#010,7-11,金沙滷肉粽香風味新極大飯糰,→,軟軟糊糊的要看仿得是哪裡的粽.......,0.0,-0.35,負向,口感軟糊,,
M.1781065583.A.1DF#015,全家,焦糖拿鐵烤雞細扁麵,→,"中午看連折價券都沒人領,可憐",0.0,-0.15,中性,只談券況,,
M.1779819009.A.5A1#009,7-11,日東紅茶皇家奶茶,→,奶精有毒?某p整天住海邊?=,0.0,0.0,中性,回應他人,,
M.1780216889.A.978#002,全家,經典總匯三明治,→,194大卡 可想而知餡料應該不多,0.0,-0.15,中性,推測餡少,,
M.1780395611.A.A91#009,萊爾富,芭樂金桔咖啡,→,芭樂沒什麼味道?都能賣芭樂汁了...,0.0,-0.4,負向,芭樂味淡,,
M.1778802633.A.CF9#017,全家,紅豆燕麥麵包檸檬燕麥豆漿餐包,→,燕麥都掉在裡面,0.0,-0.25,負向,配料掉落,,
M.1778398222.A.F21#002,全家,unknown,→,"有買過,也是搭配買一送一買的 解膩還不錯",0.0,0.45,正向,解膩不錯,,
M.1778545603.A.998#061,7-11,茶裏王正山小種,→,這罐他媽的有夠難喝,0.0,-0.9,負向,強烈難喝,,
M.1777784320.A.A01#013,7-11,泰式奶茶霜淇淋555康康任兩件,→,泰奶就是要很甜啊!,0.0,0.3,正向,肯定甜味,,
M.1778038540.A.9E9#021,全家,好多蛋59鮪魚起司溏心蛋45第二件六折,→,紐奧良烤雞一生推,0.0,0.0,中性,稱讚他品,,
M.1777459197.A.BAF#010,全家,山葵生鮪魚泥脆卷,→,教學真詳細,0.0,0.0,中性,稱讚教學,,
M.1776688011.A.F8B#013,7-11,unknown,→,"12F...""饞""=",0.0,0.0,中性,文字更正,,
M.1777274884.A.DFA#000,全家,紅心芭樂,→,"畢竟階段不同,可見你不年輕了~",0.0,0.0,中性,回應年齡,,
M.1775663147.A.4E2#036,全家,日式甜醬油山葵風味霜淇淋綜合,→,再加一點生魚片(誤),0.0,0.0,中性,玩笑離題,,
M.1776509174.A.773#025,全家,霜淇淋起司咖啡應該是之前用剩的表示是用手寫呈現,→,筆記的那位是不是很常個案當通例 這樣不行啊 很容易被騙,0.0,0.0,中性,批評他人,,
M.1775476246.A.4C1#004,7-11,3,→,"可樂果本身味道就很突出,換什麼口味都一樣",0.0,-0.1,中性,口味不突出,,
M.1774666613.A.F18#018,7-11,芬達汽水葡萄一件兩件,→,"DONKI有時有200cc小瓶鋁罐葡萄口味,只是價格不便宜",0.0,0.0,中性,談別處販售,,
